285086 imgs, 9169 classes, dev=cuda
class set changed (9170->9169); resuming backbone only, fresh head
resumed from model.pt
ep11 it1100/2005 loss 1.206
ep11 it1150/2005 loss 1.237
ep11 it1200/2005 loss 1.081
ep11 it1250/2005 loss 1.344
ep11 it1300/2005 loss 0.961
ep11 it1350/2005 loss 1.228
ep11 it1400/2005 loss 1.047
ep11 it1450/2005 loss 0.985
ep11 it1500/2005 loss 1.114
ep11 it1550/2005 loss 0.916
ep11 it1600/2005 loss 0.938
ep11 it1650/2005 loss 1.212
ep11 it1700/2005 loss 1.191
ep11 it1750/2005 loss 1.114
ep11 it1800/2005 loss 0.989
ep11 it1850/2005 loss 1.196
ep11 it1900/2005 loss 0.990
ep11 it1950/2005 loss 1.305
ep11 it2000/2005 loss 1.133
== epoch 11: val acc 0.483
ep12 it0/2005 loss 0.725
ep12 it50/2005 loss 1.075
ep12 it100/2005 loss 0.861
ep12 it150/2005 loss 1.064
ep12 it200/2005 loss 1.005
ep12 it250/2005 loss 1.008
ep12 it300/2005 loss 1.144
ep12 it350/2005 loss 1.157
ep12 it400/2005 loss 1.034
ep12 it450/2005 loss 0.884
ep12 it500/2005 loss 1.116
ep12 it550/2005 loss 1.206
ep12 it600/2005 loss 1.204
ep12 it650/2005 loss 1.357
ep12 it700/2005 loss 1.078
ep12 it750/2005 loss 1.024
ep12 it800/2005 loss 1.257
ep12 it850/2005 loss 1.335
ep12 it900/2005 loss 1.225
ep12 it950/2005 loss 0.821
ep12 it1000/2005 loss 1.101
ep12 it1050/2005 loss 1.268
ep12 it1100/2005 loss 0.880
ep12 it1150/2005 loss 0.782
ep12 it1200/2005 loss 1.133
ep12 it1250/2005 loss 1.183
ep12 it1300/2005 loss 0.973
ep12 it1350/2005 loss 1.115
ep12 it1400/2005 loss 0.772
ep12 it1450/2005 loss 1.307
ep12 it1500/2005 loss 0.969
ep12 it1550/2005 loss 1.165
ep12 it1600/2005 loss 1.331
ep12 it1650/2005 loss 0.962
ep12 it1700/2005 loss 1.216
ep12 it1750/2005 loss 1.401
ep12 it1800/2005 loss 1.136
ep12 it1850/2005 loss 1.306
ep12 it1900/2005 loss 0.970
ep12 it1950/2005 loss 0.922
ep12 it2000/2005 loss 1.174
== epoch 12: val acc 0.471
ep13 it0/2005 loss 1.187
ep13 it50/2005 loss 1.338
ep13 it100/2005 loss 1.214
ep13 it150/2005 loss 0.800
ep13 it200/2005 loss 0.951
ep13 it250/2005 loss 1.120
ep13 it300/2005 loss 0.776
ep13 it350/2005 loss 1.134
ep13 it400/2005 loss 1.169
ep13 it450/2005 loss 1.047
ep13 it500/2005 loss 1.042
ep13 it550/2005 loss 0.822
ep13 it600/2005 loss 0.978
ep13 it650/2005 loss 0.952
ep13 it700/2005 loss 0.760
ep13 it750/2005 loss 1.096
ep13 it800/2005 loss 1.440
ep13 it850/2005 loss 0.908
ep13 it900/2005 loss 1.175
ep13 it950/2005 loss 1.082
ep13 it1000/2005 loss 1.245
ep13 it1050/2005 loss 1.143
ep13 it1100/2005 loss 0.939
ep13 it1150/2005 loss 1.144
ep13 it1200/2005 loss 1.150
ep13 it1250/2005 loss 0.900
ep13 it1300/2005 loss 1.341
ep13 it1350/2005 loss 1.007
ep13 it1400/2005 loss 0.965
ep13 it1450/2005 loss 0.938
ep13 it1500/2005 loss 1.020
ep13 it1550/2005 loss 1.194
ep13 it1600/2005 loss 1.038
ep13 it1650/2005 loss 1.187
ep13 it1700/2005 loss 0.955
ep13 it1750/2005 loss 1.207
ep13 it1800/2005 loss 1.000
ep13 it1850/2005 loss 1.017
ep13 it1900/2005 loss 0.931
ep13 it1950/2005 loss 0.919
ep13 it2000/2005 loss 1.255
== epoch 13: val acc 0.486
ep14 it0/2005 loss 0.733
ep14 it50/2005 loss 0.748
ep14 it100/2005 loss 0.971
ep14 it150/2005 loss 1.012
ep14 it200/2005 loss 1.132
ep14 it250/2005 loss 1.180
ep14 it300/2005 loss 0.948
ep14 it350/2005 loss 0.871
ep14 it400/2005 loss 1.033
ep14 it450/2005 loss 1.067
ep14 it500/2005 loss 0.940
ep14 it550/2005 loss 1.126
ep14 it600/2005 loss 0.929
ep14 it650/2005 loss 0.994
ep14 it700/2005 loss 1.054
ep14 it750/2005 loss 1.059
ep14 it800/2005 loss 1.046
ep14 it850/2005 loss 0.934
ep14 it900/2005 loss 0.897
ep14 it950/2005 loss 1.041
ep14 it1000/2005 loss 1.105
ep14 it1050/2005 loss 0.969
ep14 it1100/2005 loss 0.827
ep14 it1150/2005 loss 0.766
ep14 it1200/2005 loss 1.011
ep14 it1250/2005 loss 0.881
ep14 it1300/2005 loss 1.224
ep14 it1350/2005 loss 1.014
ep14 it1400/2005 loss 1.143
ep14 it1450/2005 loss 0.947
ep14 it1500/2005 loss 1.044
ep14 it1550/2005 loss 0.935
ep14 it1600/2005 loss 1.040
ep14 it1650/2005 loss 0.734
ep14 it1700/2005 loss 0.921
ep14 it1750/2005 loss 1.134
ep14 it1800/2005 loss 1.169
ep14 it1850/2005 loss 1.162
ep14 it1900/2005 loss 1.115
ep14 it1950/2005 loss 0.784
ep14 it2000/2005 loss 1.033
== epoch 14: val acc 0.487
ep15 it0/2005 loss 0.677
ep15 it50/2005 loss 0.890
ep15 it100/2005 loss 0.861
ep15 it150/2005 loss 0.960
ep15 it200/2005 loss 0.877
ep15 it250/2005 loss 0.780
ep15 it300/2005 loss 1.025
ep15 it350/2005 loss 1.026
ep15 it400/2005 loss 0.909
ep15 it450/2005 loss 0.813
ep15 it500/2005 loss 1.043
ep15 it550/2005 loss 1.125
ep15 it600/2005 loss 1.024
ep15 it650/2005 loss 0.785
ep15 it700/2005 loss 1.005
ep15 it750/2005 loss 1.217
ep15 it800/2005 loss 0.796
ep15 it850/2005 loss 0.973
ep15 it900/2005 loss 0.872
ep15 it950/2005 loss 0.805
ep15 it1000/2005 loss 0.990
ep15 it1050/2005 loss 1.221
